Id,name,latitude,longitude,altitude(ft),utm_easting,utm_northing,demographic_score,traffic_volume,infra_score
104,Arabsa,8.972663733,38.891524375,7652.2,488076.1,991831.7,25,40,20.0
105,Algeria st,9.046750072,38.761717492,8190.3,473812.7,1000029.3,25,50,11.0
106,Kebena River,9.051056763,38.768441351,8133.9,474552.0,1000505.0,35,40,5.0
107,Haile Melekot st,9.056777067,38.759582289,8296.3,473578.8,1001138.0,40,112,14.0
108,Kechene Medhan alem,9.055069553,38.754324757,8322.2,473000.9,1000949.6,30,70,17.0
109,Abera Gizwa st,9.053373444,38.757294706,8206.0,473327.1,1000761.9,35,70,14.0
110,US embassy,9.057938197,38.763956043,8433.4,474059.5,1001266.1,40,50,10.0
111,She ojele st,9.055289286,38.732677946,8439.6,470621.9,1000975.6,35,35,12.0
112,Addisu gebeya,9.059035131,38.737121607,8494.1,471110.6,1001389.4,40,140,31.0
113,Torhayloch,9.013081534,38.724434304,7787.7,469712.5,996309.8,45,200,25.0
114,Uganda St,9.025723872,38.738603683,7923.6,471270.8,997706.4,35,50,14.0
115,Roosevelt st,9.002937137,38.740472289,7630.2,471474.4,995187.0,55,60,21.0
116,Mozambique St,9.003356329,38.747179149,7646.7,472211.6,995232.8,65,50,10.0
117,Geja sefer,9.016566204,38.738922499,7765.1,471305.1,996693.9,50,40,15.0
118,AA golf club,9.00089604,38.724623685,7684.1,469732.3,994962.6,40,50,18.0
119,AU headquarter,8.99959519,38.745012148,7583.7,471973.1,994817.2,120,250,23.0
120,Canada Embassy,8.995152818,38.736491088,7615.2,471036.2,994326.7,30,60,10.0
121,S Africa St,8.992555857,38.726180107,7628.0,469902.6,994040.4,30,60,11.0
122,Hanoon Coffee shop,8.998979506,38.767140155,7693.6,474405.3,994747.5,30,40,13.0
123,Egypt St,8.98844081,38.73714742,7536.1,471107.8,993584.6,45,45,9.0
124,Gara Mart Lebu,8.948198566,38.729754517,7345.1,470291.9,989136.1,50,60,11.0
125,Music sefer Lebu,8.947218019,38.717922024,7372.0,468991.1,989028.6,30,250,13.0
126,Furi Noc,8.951855328,38.690661191,7395.0,465994.7,989543.7,20,100,14.0
127,Jemo 2 condominium,8.955313916,38.692381815,7403.9,466184.2,989925.9,30,200,54.0
128,Jemal,8.954689697,38.685482983,7442.6,465425.7,989857.6,20,90,13.0
129,Lebawi Int Academy,8.95848787,38.688647264,7440.3,465773.9,990277.2,35,85,16.0
130,Huajian Jimma,8.952475688,38.704916061,7446.5,467561.8,989611.0,25,80,12.0
131,Jomo 1 bus station,8.959981533,38.712867307,7347.4,468436.5,990440.2,45,120,11.0
132,All mart supermarket,8.961625023,38.714853518,7348.8,468655.0,990621.7,50,150,13.0
133,Ayertena Sec school,8.983369148,38.695851838,7637.8,466568.2,993027.4,25,200,16.0
134,Yertena Kidane mihret,8.993782416,38.691127035,7842.8,466049.8,994179.1,30,50,13.0
135,Laphto mall,8.989536812,38.726657267,7590.6,469954.8,993706.6,40,100,13.0
136,ZK sakso,8.999546316,38.693766447,7919.0,466340.5,994816.1,45,90,11.0
137,Anfo dildiy,9.014845778,38.678396821,8061.4,464652.6,996509.0,55,200,14.0
138,Weyibela mariam,9.024251919,38.688701936,8072.2,465786.1,997548.0,35,120,11.0
139,Anfo,9.022049889,38.674049957,8228.7,464175.5,997305.9,60,300,19.0
140,Aliy mesjid,8.997804377,38.672942847,8037.7,464051.4,994625.5,25,60,11.0
141,Selam kasey,9.026633565,38.706255458,7906.2,467715.6,997809.7,40,50,14.0
142,Tshayi mewcha,9.054603283,38.693190002,8287.7,466282.2,1000903.2,40,150,11.0
143,St philipos rd,9.042206545,38.705486423,8128.0,467632.5,999531.5,30,60,15.0
144,Mickey Leland condominium,9.050406845,38.698527581,8215.6,466868.4,1000438.7,45,70,13.0
145,Abebe Bikila Condominium,9.042960628,38.724338243,8170.3,469704.4,999613.2,55,90,19.0
146,Girum Hospita,9.046805886,38.720615056,8229.7,469295.5,1000038.7,40,100,18.0
147,Asko chereta,9.061325295,38.70201855,8457.0,467253.1,1001645.6,40,150,12.0
148,Shegole Bus depot,9.065231015,38.720707989,8492.8,469307.3,1002075.7,35,120,17.0
149,Achalewu,9.06410348,38.718367727,8467.5,469050.0,1001951.3,25,50,13.0
150,Ikram garage,9.069633401,38.717369779,8587.3,468940.8,1002562.7,40,70,13.0
151,Shegole kidane mihret,9.070586705,38.726887354,8707.7,469986.8,1002667.3,35,60,15.0
152,Stay easy plus,9.065118907,38.732597214,8687.0,470613.9,1002062.4,20,160,13.0
153,Addisu gebeya square,9.062531718,38.734417021,8607.6,470813.6,1001776.2,45,300,24.0
154,Adwa St,9.035836319,38.758908869,8027.6,473503.3,998822.9,50,350,34.0
155,National Museum ET,9.03806773,38.763191128,8083.7,473974.0,999069.3,60,200,28.0
156,Semein,9.04415002,38.749422209,8216.2,472461.3,999742.8,25,180,17.0
157,Habiye academy,9.049098418,38.736670167,8267.1,471060.2,1000290.8,20,65,18.0
158,sidiskilo square,9.043751457,38.76244629,8148.3,473892.6,999697.7,50,300,32.0
159,Kechene,9.054658067,38.750816061,8305.8,472615.2,1000904.4,40,50,23.0
160,Benin st,9.042187179,38.753732077,8145.7,472934.8,999525.4,35,60,11.0
161,Weatherall st,9.043863222,38.757882097,8176.8,473391.0,999710.4,35,190,13.0
162,Cure ET children hospital,9.058246239,38.766816771,8311.0,474373.9,1001299.9,45,60,25.0
163,Africa cultural dresses,9.064954948,38.760914486,8496.1,473725.8,1002042.1,45,50,16.0
164,Woreda 6,9.06810559,38.756243217,8545.3,473212.7,1002390.7,60,60,20.0
165,Gergesenon,9.070905775,38.759441761,8640.1,473564.4,1002700.1,40,65,14.0
166,Shiromeda silase,9.070060425,38.761125379,8614.2,473749.3,1002606.5,30,60,12.0
167,Entoto st,9.074636987,38.759163936,8751.0,473534.1,1003112.6,70,40,8.0
168,St peter spec hospital,9.07426865,38.757332998,8794.6,473332.9,1003072.0,35,60,11.0
169,Entoto hamere,9.07710135,38.772889227,8669.6,475042.6,1003384.1,20,30,6.0
170,Ferensay mezoria,9.05720211,38.777297467,8299.5,475525.7,1001183.8,55,90,22.0
171,Omedia st,9.056839212,38.775385271,8286.4,475315.5,1001143.8,50,60,19.0
172,Ferensay kela,9.056212634,38.774735242,8280.5,475244.0,1001074.6,60,85,16.0
173,Ferensay Abo,9.050745158,38.780803188,8177.5,475910.5,1000469.7,70,50,11.0
174,French park,9.04861193,38.776016586,8167.7,475384.3,1000234.2,40,40,6.0
175,Embassy of Italy,9.045889537,38.783057159,8148.6,476157.9,999932.7,40,55,10.0
176,German Embassy,9.040377812,38.779552251,8038.7,475772.3,999323.6,40,65,12.0
177,Embassy of Kenya,9.032646996,38.783200295,7975.4,476172.8,998468.6,45,45,10.0
178,Asmara Rd,9.021353087,38.809838869,7854.0,479099.8,997218.4,50,80,13.0
179,Century cinema,9.019672524,38.809835658,7810.7,479099.4,997032.6,60,120,24.0
180,Century mall,9.01921198,38.814839263,7819.2,479649.3,996981.4,60,300,26.0
181,Int livestock research inst,9.01616116,38.814851198,7785.4,479650.4,996644.1,55,140,18.0
182,Wondrid school,9.03498064,38.833323548,8050.9,481681.7,998723.7,65,50,13.0
183,Redu coffee,9.036604129,38.829705404,8072.8,481284.1,998903.4,40,60,11.0
184,Kotebe unv of education,9.03837343,38.840119401,8131.2,482428.7,999098.5,65,75,12.0
185,Hillside school,9.028197475,38.833037596,7927.8,481649.9,997973.8,70,50,10.0
186,Wesen grocery,9.032365342,38.843012096,7982.9,482746.3,998434.1,40,55,7.0
187,Gebriel meselamia,9.038884753,38.850660624,8170.6,483587.3,999154.5,35,60,11.0
188,Kotebe kara,9.035882815,38.854593438,8153.2,484019.3,998822.5,35,120,19.0
189,St Rufael,9.062084646,38.861155456,8296.3,484741.6,1001719.0,60,200,
190,Yeka Abado,9.067823651,38.860286302,8512.8,484646.4,1002353.5,45,90,11.0
191,Abado Adababey,9.066260634,38.865681931,8321.5,485239.2,1002180.5,70,200,14.0
192,Green Bush Garden,9.054715319,38.873749481,8145.3,486125.4,1000903.8,30,80,12.0
193,Ayat Tafo Condominium,9.046501834,38.873375155,8147.6,486083.9,999995.7,80,200,15.0
194,Effoi pizza Ayat,9.029896367,38.878917005,7969.2,486692.4,998159.6,65,85,19.0
195,Lomyad Ayat,9.025533888,38.878663902,7936.4,486664.4,997677.3,60,60,17.0
196,Ayat zone 5,9.019968131,38.877906505,7886.8,486580.9,997062.0,70,70,18.0
197,Lemi Kura,9.0166753,38.873014066,7862.2,486043.1,996698.2,80,100,25.0
198,Haile real state,9.015280853,38.883656802,7840.9,487212.8,996543.6,85,250,25.0
199,Ayat condominium,9.016586174,38.89265981,7881.2,488202.3,996687.6,90,250,32.0
200,ICT park,8.965624451,38.841399552,7365.8,482565.9,991055.5,40,150,15.0
201,Goro mosque,8.991798161,38.831062098,7584.0,481430.9,993949.7,35,200,17.0
202,Weyn Amba Saint,8.979169946,38.845131723,7475.7,482976.8,992552.9,75,130,15.0
203,Goro school,8.995222846,38.827988494,7623.0,481093.3,994328.5,50,120,11.0
204,Seven Futsal,9.000925171,38.806553536,7696.9,478737.5,994960.1,35,150,11.0
205,Gerji Mariam,8.999197078,38.802172324,7656.2,478255.9,994769.3,60,180,20.0
206,Abeba weyba,8.995985195,38.805832719,7658.1,478658.0,994414.0,45,130,20.0
207,Bora Amusement park,8.990757936,38.795820467,7628.3,477557.2,993836.6,60,100,18.0
208,Alem Cinema,8.989821538,38.784833568,7612.2,476349.5,993733.8,55,90,20.0
209,Akaki Beseka,8.858735547,38.788968533,6796.3,476795.7,979241.0,65,100,11.0
210,Addis Ababa zone 6,8.893295277,38.772802439,7074.8,475020.5,983062.9,40,85,11.0
